sample_name,cycle,fluorescence,sample_type,primer_set,temperature,mastermix,well,column,row,normalization,experiment,subtitle,plate,plate_title,sample_ID,short_name,plot_cycle,data_class,sample_ID_ton,sample_name_old,short_name_old,temp_num,plate_well,sample_richness,sample_counts,sample_type_richness,sample_type_counts,contaminants,reads_with_contaminants,input,filtered,percentage.of.input.passed.filter,denoised,non.chimeric,percentage.of.input.non.chimeric,fastq_reads,trimmed_reads,filtered_reads,denoised_reads,chimeric_reads,contaminant_table_reads,contaminant_reads,usable_reads,p_fastq_reads,p_trimmed_reads,p_filtered_reads,p_denoised_reads,p_chimeric_reads,p_contaminant_reads,p_contaminant_table_reads,p_usable_reads
singleton_G4_Feces_Fixed_24_A1,24,193,Feces,Standard,42°C,QB,A1,1,A,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_A1,singleton_QB_Standard_fixed cycles_Feces_42°C,cycle_24,singleton,S_G4_1_A1,G4_Feces_Fixed_24_A1,QB_Standard_fixed cycles_Feces_42°C,42C,1A1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
doubleton_G4_Feces_Fixed_24_A1,24,193,Feces,Standard,42°C,QB,A1,1,A,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_A1,doubleton_QB_Standard_fixed cycles_Feces_42°C,cycle_24,doubleton,D_G4_1_A1,G4_Feces_Fixed_24_A1,QB_Standard_fixed cycles_Feces_42°C,42C,1A1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
singleton_G4_Feces_Fixed_24_A2,24,266,Feces,Standard,47°C,QB,A2,2,A,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_A2,singleton_QB_Standard_fixed cycles_Feces_47°C,cycle_24,singleton,S_G4_1_A2,G4_Feces_Fixed_24_A2,QB_Standard_fixed cycles_Feces_47°C,47C,1A2,1656,46521,10258,1554780,removed,46561,102618,80190,78.14,78039,70014,68.23,105300,2682,22428,2151,8025,40,23493,46521,100,2.55,21.3,2.04,7.62,22.31,0.04,44.18
doubleton_G4_Feces_Fixed_24_A2,24,266,Feces,Standard,47°C,QB,A2,2,A,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_A2,doubleton_QB_Standard_fixed cycles_Feces_47°C,cycle_24,doubleton,D_G4_1_A2,G4_Feces_Fixed_24_A2,QB_Standard_fixed cycles_Feces_47°C,47C,1A2,1971,45369,3980,1519967,removed,45411,102618,80190,78.14,48037,45502,44.34,105300,2682,22428,32153,2535,42,133,45369,100,2.55,21.3,30.53,2.41,0.13,0.04,43.09
singleton_G4_Feces_Fixed_24_A3,24,462,Feces,Standard,52°C,QB,A3,3,A,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_A3,singleton_QB_Standard_fixed cycles_Feces_52°C,cycle_24,singleton,S_G4_1_A3,G4_Feces_Fixed_24_A3,QB_Standard_fixed cycles_Feces_52°C,52C,1A3,1667,48586,10258,1554780,removed,48620,106473,90502,85,87781,77269,72.57,106888,415,15971,2721,10512,34,28683,48586,100,0.39,14.94,2.55,9.83,26.83,0.03,45.46
doubleton_G4_Feces_Fixed_24_A3,24,462,Feces,Standard,52°C,QB,A3,3,A,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_A3,doubleton_QB_Standard_fixed cycles_Feces_52°C,cycle_24,doubleton,D_G4_1_A3,G4_Feces_Fixed_24_A3,QB_Standard_fixed cycles_Feces_52°C,52C,1A3,1917,47027,3980,1519967,removed,47063,106473,90502,85,50737,47134,44.27,106888,415,15971,39765,3603,36,107,47027,100,0.39,14.94,37.2,3.37,0.1,0.03,44
singleton_G4_Feces_Fixed_24_A4,24,496,Feces,Standard,57°C,QB,A4,4,A,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_A4,singleton_QB_Standard_fixed cycles_Feces_57°C,cycle_24,singleton,S_G4_1_A4,G4_Feces_Fixed_24_A4,QB_Standard_fixed cycles_Feces_57°C,57C,1A4,1451,38958,10258,1554780,removed,38991,91178,78386,85.97,76100,67253,73.76,91285,107,12792,2286,8847,33,28295,38958,100,0.12,14.01,2.5,9.69,31,0.04,42.68
doubleton_G4_Feces_Fixed_24_A4,24,496,Feces,Standard,57°C,QB,A4,4,A,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_A4,doubleton_QB_Standard_fixed cycles_Feces_57°C,cycle_24,doubleton,D_G4_1_A4,G4_Feces_Fixed_24_A4,QB_Standard_fixed cycles_Feces_57°C,57C,1A4,1733,37745,3980,1519967,removed,37781,91178,78386,85.97,41233,37803,41.46,91285,107,12792,37153,3430,36,58,37745,100,0.12,14.01,40.7,3.76,0.06,0.04,41.35
singleton_G4_Feces_Fixed_24_B1,24,497,Feces,Standard,42°C,QB,B1,1,B,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_B1,singleton_QB_Standard_fixed cycles_Feces_42°C,cycle_24,singleton,S_G4_1_B1,G4_Feces_Fixed_24_B1,QB_Standard_fixed cycles_Feces_42°C,42C,1B1,1476,41402,10258,1554780,removed,41408,86070,64524,74.97,62903,57081,66.32,86987,917,21546,1621,5822,6,15679,41402,100,1.05,24.77,1.86,6.69,18.02,0.01,47.6
doubleton_G4_Feces_Fixed_24_B1,24,497,Feces,Standard,42°C,QB,B1,1,B,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_B1,doubleton_QB_Standard_fixed cycles_Feces_42°C,cycle_24,doubleton,D_G4_1_B1,G4_Feces_Fixed_24_B1,QB_Standard_fixed cycles_Feces_42°C,42C,1B1,1906,40297,3980,1519967,removed,40319,86070,64524,74.97,42273,40456,47,86987,917,21546,22251,1817,22,159,40297,100,1.05,24.77,25.58,2.09,0.18,0.03,46.33
singleton_G4_Feces_Fixed_24_B2,24,526,Feces,Standard,47°C,QB,B2,2,B,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_B2,singleton_QB_Standard_fixed cycles_Feces_47°C,cycle_24,singleton,S_G4_1_B2,G4_Feces_Fixed_24_B2,QB_Standard_fixed cycles_Feces_47°C,47C,1B2,1624,45854,10258,1554780,removed,45872,101665,79540,78.24,77366,69442,68.3,104783,3118,22125,2174,7924,18,23588,45854,100,2.98,21.12,2.07,7.56,22.51,0.02,43.76
doubleton_G4_Feces_Fixed_24_B2,24,526,Feces,Standard,47°C,QB,B2,2,B,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_B2,doubleton_QB_Standard_fixed cycles_Feces_47°C,cycle_24,doubleton,D_G4_1_B2,G4_Feces_Fixed_24_B2,QB_Standard_fixed cycles_Feces_47°C,47C,1B2,1989,44862,3980,1519967,removed,44895,101665,79540,78.24,47576,44997,44.26,104783,3118,22125,31964,2579,33,135,44862,100,2.98,21.12,30.5,2.46,0.13,0.03,42.81
singleton_G4_Feces_Fixed_24_B3,24,496,Feces,Standard,52°C,QB,B3,3,B,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_B3,singleton_QB_Standard_fixed cycles_Feces_52°C,cycle_24,singleton,S_G4_1_B3,G4_Feces_Fixed_24_B3,QB_Standard_fixed cycles_Feces_52°C,52C,1B3,1737,53641,10258,1554780,removed,53671,116240,98922,85.1,95951,84155,72.4,116745,505,17318,2971,11796,30,30514,53641,100,0.43,14.83,2.54,10.1,26.14,0.03,45.95
doubleton_G4_Feces_Fixed_24_B3,24,496,Feces,Standard,52°C,QB,B3,3,B,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_B3,doubleton_QB_Standard_fixed cycles_Feces_52°C,cycle_24,doubleton,D_G4_1_B3,G4_Feces_Fixed_24_B3,QB_Standard_fixed cycles_Feces_52°C,52C,1B3,1998,52088,3980,1519967,removed,52128,116240,98922,85.1,56200,52181,44.89,116745,505,17318,42722,4019,40,93,52088,100,0.43,14.83,36.59,3.44,0.08,0.03,44.62
singleton_G4_Feces_Fixed_24_B4,24,581,Feces,Standard,57°C,QB,B4,4,B,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_B4,singleton_QB_Standard_fixed cycles_Feces_57°C,cycle_24,singleton,S_G4_1_B4,G4_Feces_Fixed_24_B4,QB_Standard_fixed cycles_Feces_57°C,57C,1B4,1512,42555,10258,1554780,removed,42576,89617,77041,85.97,74955,66771,74.51,89680,63,12576,2086,8184,21,24216,42555,100,0.07,14.02,2.33,9.13,27,0.02,47.45
doubleton_G4_Feces_Fixed_24_B4,24,581,Feces,Standard,57°C,QB,B4,4,B,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_B4,doubleton_QB_Standard_fixed cycles_Feces_57°C,cycle_24,doubleton,D_G4_1_B4,G4_Feces_Fixed_24_B4,QB_Standard_fixed cycles_Feces_57°C,57C,1B4,1857,41388,3980,1519967,removed,41417,89617,77041,85.97,44078,41449,46.25,89680,63,12576,32963,2629,29,61,41388,100,0.07,14.02,36.76,2.93,0.07,0.03,46.15
singleton_G4_Feces_Fixed_24_C1,24,511,Feces,Standard,42°C,QB,C1,1,C,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_C1,singleton_QB_Standard_fixed cycles_Feces_42°C,cycle_24,singleton,S_G4_1_C1,G4_Feces_Fixed_24_C1,QB_Standard_fixed cycles_Feces_42°C,42C,1C1,1384,31047,10258,1554780,removed,31062,72455,51171,70.62,49794,45721,63.1,76971,4516,21284,1377,4073,15,14674,31047,100,5.87,27.65,1.79,5.29,19.06,0.02,40.34
