"","Phylum_Reads","Genus_Reads","Species_Reads","ASV_Reads"
"singleton_G6_Skin_FL_2500_B2",67232,67232,67232,67232
"singleton_G6_Skin_FL_2500_B1",74005,74005,74005,74005
"singleton_G6_Skin_FL_2500_B4",67596,67596,67596,67596
"singleton_G6_Skin_FL_2500_C1",77141,77141,77141,77141
"singleton_G6_Skin_Fixed_24_D1",48903,48903,48903,48903
"singleton_G6_Skin_FL_2500_A2",67854,67854,67854,67854
"singleton_G6_Skin_Fixed_24_A1",19953,19953,19953,19953
"singleton_G6_Skin_Fixed_24_C1",40620,40620,40620,40620
"singleton_G6_Skin_Fixed_24_C2",67128,67128,67128,67128
"singleton_G6_Skin_FL_2500_C3",82626,82626,82626,82626
"singleton_G6_Skin_FL_2500_A1",512,512,512,512
"singleton_G6_Skin_FL_2500_A3",306,306,306,306
"singleton_G6_Skin_FL_2500_D2",55349,55349,55349,55349
"singleton_G6_Skin_FL_2500_D3",76031,76031,76031,76031
"singleton_G6_Skin_Fixed_24_B1",36263,36263,36263,36263
"singleton_G6_Skin_Fixed_24_D2",71463,71463,71463,71463
"singleton_G6_Skin_FL_2500_D4",66379,66379,66379,66379
"singleton_G6_Skin_Fixed_24_B4",83977,83977,83977,83977
"singleton_G6_Skin_FL_2500_C2",65827,65827,65827,65827
"singleton_G6_Skin_Fixed_24_B3",66576,66576,66576,66576
"singleton_G6_Skin_Fixed_24_A3",68683,68683,68683,68683
"singleton_G6_Skin_Fixed_24_C3",72682,72682,72682,72682
"singleton_G6_Skin_Fixed_24_B2",18019,18019,18019,18019
"singleton_G6_Skin_FL_2500_B3",95464,95464,95464,95464
"singleton_G6_Skin_Fixed_24_D4",107911,107911,107911,107911
"singleton_G6_Skin_FL_2500_A4",70596,70596,70596,70596
"singleton_G6_Skin_Fixed_24_D3",67154,67154,67154,67154
"singleton_G6_Skin_Fixed_24_A4",82831,82831,82831,82831
"singleton_G6_Skin_Fixed_24_A2",78148,78148,78148,78148
"singleton_G6_Skin_Fixed_24_C4",109760,109760,109760,109760
"singleton_G6_Skin_FL_2500_D1",58309,58309,58309,58309
"singleton_G6_Skin_FL_2500_C4",68439,68439,68439,68439
"singleton_G4_Feces_FL_350_C2",80629,80629,80629,80629
"singleton_G4_Feces_FL_350_A1",664,664,664,664
"singleton_G4_Feces_FL_350_B3",68,68,68,68
"singleton_G4_Feces_FL_350_B4",63,63,63,63
"singleton_G4_Feces_FL_350_D3",38997,38997,38997,38997
"singleton_G4_Feces_FL_350_A3",72998,72998,72998,72998
"singleton_G4_Feces_Fixed_24_C1",31047,31047,31047,31047
"singleton_G4_Feces_FL_350_D4",84797,84797,84797,84797
"singleton_G4_Feces_Fixed_24_A2",46521,46521,46521,46521
"singleton_G4_Feces_Fixed_24_A4",38958,38958,38958,38958
"singleton_G4_Feces_Fixed_24_D2",34170,34170,34170,34170
"singleton_G4_Feces_Fixed_24_C2",50240,50240,50240,50240
"singleton_G4_Feces_Fixed_24_C4",42986,42986,42986,42986
"singleton_G4_Feces_FL_350_A2",73910,73910,73910,73910
"singleton_G4_Feces_Fixed_24_B1",41402,41402,41402,41402
"singleton_G4_Feces_Fixed_24_B3",53641,53641,53641,53641
"singleton_G4_Feces_Fixed_24_D4",36823,36823,36823,36823
"singleton_G4_Feces_Fixed_24_B4",42555,42555,42555,42555
"singleton_G4_Feces_Fixed_24_D1",26935,26935,26935,26935
